,CAABCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancialYear,23607000,23615000,23617006,23659901,25416001,28711000,28784000,28795004,28850000,28911005,28911902,37000000,37005004,37008001,37010001,37013006,37013007,37013008,37013014,37013900,37017001,37017008,37018000,37018001,37018002,37018003,37018004,37018005,37018006,37018007,37018008,37018009,37018010,37018011,37018013,37018014,37018015,37018016,37018020,37018021,37018022,37018023,37018026,37018027,37018029,37018030,37018032,37018033,37018034,37018035,37018036,37018038,37018903,37019000,37019001,37019002,37020901,37026001,37026900,37027000,37027006,37031000,37035000,37035004,37039003,37053001,37054001,37055000,37060000,37063002,37085000,37085007,37085019,37085903,37086001,37087001,37088002,37094900,37117001,37118002,37118901,37142001,37165003,37188001,37188005,37192000,37192006,37232000,37234000,37235000,37255009,37258000,37258001,37261000,37287000,37287049,37287066,37288000,37296000,37296001,37296004,37296007,37296021,37296023,37296033,37310001,37310006,37311006,37311007,37311008,37311009,37311011,37311012,37311014,37311021,37311034,37311040,37311042,37311044,37311045,37311047,37311057,37311061,37311063,37311068,37311069,37311075,37311076,37311077,37311079,37311081,37311082,37311083,37311085,37311086,37311090,37311096,37311136,37311137,37311138,37311140,37311141,37311145,37311150,37311151,37311152,37311166,37311170,37311173,37311904,37311905,37311908,37311909,37311910,37320003,37321001,37321007,37321008,37321009,37321014,37321018,37321019,37321026,37323004,37326000,37326001,37327047,37327102,37330000,37330005,37330006,37330010,37330015,37331006,37334002,37335001,37336002,37337000,37337003,37337006,37337007,37337011,37337012,37337016,37337018,37337022,37337025,37337027,37337028,37337029,37337032,37337037,37337038,37337039,37337040,37337042,37337048,37337050,37337052,37337053,37337062,37337064,37337066,37337072,37337075,37337904,37337905,37337907,37337911,37338001,37342000,37346000,37346001,37346002,37346003,37346004,37346005,37346006,37346007,37346010,37346011,37346014,37346015,37346016,37346017,37346018,37346025,37346027,37346028,37346029,37346030,37346031,37346032,37346034,37346036,37346038,37346045,37346047,37346049,37346053,37346054,37346055,37346056,37346058,37346060,37346064,37346065,37346901,37346910,37346911,37346915,37347000,37347005,37347006,37347007,37347901,37348001,37349000,37349001,37350002,37350003,37350011,37350012,37350014,37350902,37351000,37351002,37351004,37351005,37351006,37351007,37351008,37351009,37351010,37351011,37351012,37351013,37351014,37351016,37351018,37351019,37351020,37351022,37351025,37351026,37351027,37351901,37353000,37353001,37353004,37353006,37353011,37353013,37354000,37354001,37354003,37354006,37354007,37354019,37354020,37354024,37355000,37355900,37356002,37357012,37359001,37361000,37361004,37361007,37362000,37362002,37362005,37363002,37363900,37371002,37372012,37377000,37377004,37377009,37377011,37378002,37381000,37381008,37381009,37382001,37382901,37383000,37383002,37383004,37383005,37384000,37384007,37384010,37384025,37384042,37384043,37384054,37384072,37384073,37384076,37384104,37384122,37384167,37384902,37384904,37388000,37390000,37400000,37428219,37429010,37429038,37437019,37438000,37438013,37439002,37440000,37441002,37441003,37441005,37441007,37441008,37441009,37441010,37441011,37441013,37441014,37441015,37441018,37441024,37441025,37441029,37441791,37441909,37441911,37441912,37444000,37444002,37444003,37444005,37444006,37444007,37445001,37457001,37460000,37464007,37465000,37465900,37467009,37990003,37990005,37990006,37990007,37990013,37990085,37999039,99280002,99370001,99370005,99370006,99370007,99370009,Unknown,Grand Total
1989-90,,,,,,,,,,,,902.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.00,,,,,,,,,,79.40,,,,,,,,3699.90,,,,,,,,,,,,199.48,,,,,,,,,,,,,,N/A,,1207.58,,,,,,,,,,,,,,,,486751.67,,7753.12,,2763.50,,,,,,,,,,,,,,,,,N/A,,,,572.80,,N/A,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,32910.62,,,,,,N/A,1037.00,,,,,N/A,,,,19600.50,,,N/A,,,,N/A,,,,,,,,,,2117.91,,,,,,,,,,,,,,N/A,4072.86,4432.17,1843.50,,,,,,,N/A,,,,,,,,425.68,N/A,,,,,,11162.46,201147.07,,,,,,,N/A,,,,,,,,N/A,3682.88,,,,,,8200.10,,,,N/A,,,,,,,,,,,,,,,,,,499.21,,,,,N/A,,,,N/A,,,669.20,415.00,1282.60,,,,N/A,,,,,,,,,1104.10,,,,,,,,,,,,,,N/A,,66870.62,,,,,,N/A,N/A,3821.47,,11745.88,,,N/A,951.07,,,,,,,,,,,,,,,11150.09,,56170.60,35032.60,,,,,749.60,2842.49,N/A,N/A,,180.60,1000382.02
1990-91,,N/A,,,,,,,,,,9560.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,1695.00,,,,,,,,,,85.50,,,,,,,,2804.18,,,,,,,,,,,,828.10,,,N/A,,,,,,,,,,,N/A,,4031.27,,,,,,,,,,,,,,,,1377906.54,N/A,34160.23,,1747.40,,,,,,,,,,,,,,N/A,,,107.00,,,N/A,2695.50,,2580.90,,N/A,645.65,,N/A,,,,N/A,N/A,,,,,,,,,,,,84830.44,N/A,,,,,N/A,5128.00,,,N/A,N/A,1040.70,,,,67669.91,,,13720.22,,,,264.90,,,,,,,,,,8580.87,,,,,,,,,,,,,,730.60,34833.10,10515.92,2635.10,,,,,,,N/A,,,,,,,,995.80,6743.61,,N/A,,,,35565.08,566889.94,,,,,,N/A,N/A,,,,,,,,313.95,19398.90,,,,,N/A,16806.50,,,,463.52,,,,,,,,,,N/A,,,,,,,,471.09,,,,,732.20,,,,304.00,N/A,,4416.20,486.30,7368.60,,,,N/A,,,,,,,,,4501.50,,,,,,,,,,,,,,976.10,,507759.28,,,,,,1184.93,6385.81,38152.97,N/A,83340.50,,,N/A,4990.72,,,,,,,,,,,,N/A,,,32533.41,,150162.35,85863.10,,,,N/A,133.00,14250.75,N/A,N/A,,406.60,3266682.50
1991-92,,,,,,,N/A,,,,,39291.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,2701.60,,,,,,,,,,186.00,,,,,,,,913.80,,,,,,,,N/A,,,,1978.30,,,N/A,,,,N/A,,,,,,,N/A,,6703.60,,,,,,,,,,,,,,,,1451492.11,,37171.28,N/A,3625.50,,,,,,,,,,,,,,N/A,,,N/A,,,N/A,2157.10,,15600.15,,N/A,1749.95,,N/A,,,,N/A,N/A,,,,N/A,,,,,,,,40053.02,N/A,,,,,,524.00,,N/A,N/A,N/A,2530.80,,,,59446.72,N/A,,16779.10,,N/A,,157.20,,,,,N/A,,,,,10716.70,,,,,,,,,,,,,,N/A,33897.46,16283.66,4934.20,,,,,,,,,,,N/A,,,,1264.90,22569.50,,N/A,,,,21435.30,644386.00,,,,,,N/A,N/A,,,,,,,,N/A,18189.10,,,,,N/A,13991.80,,,,1078.00,,,,,,,,,N/A,N/A,,,,,,,,878.70,,,,,N/A,,N/A,,363.90,N/A,,409.10,N/A,9989.40,,,,171.10,,,,,,,,,6400.00,,,,,,,,,,,,,N/A,1389.09,,401066.68,,,,,,1041.23,5632.37,7595.69,421.57,59180.99,,,,7059.79,N/A,,,,,,,,,N/A,,,,,22522.86,,124245.80,86053.30,,,,,N/A,22617.70,N/A,N/A,,1221.70,3245387.56
1992-93,,,,,,,N/A,,,,,122225.50,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230.10,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,2430.10,,,,,,,,,,,,,,320.70,,3322.82,,,,,,,,,,,,,,,,1448628.19,,38845.08,N/A,817.15,,,,,,,,,,,,,,N/A,,,,,,N/A,5732.36,,63106.49,,N/A,497.25,,N/A,,,,N/A,N/A,,,,N/A,,,,,,,,7402.67,N/A,,,,,N/A,2053.72,,N/A,N/A,,N/A,,,,31899.08,N/A,,15242.57,,1105.40,,701.80,,,,,N/A,,,,,3323.36,,,,,,,,,,,,,,72.50,21782.30,12337.48,5392.30,,,,,,,,,,,589.25,,,,1047.30,51333.83,,N/A,,N/A,,20183.20,586214.98,,,,,,,485.50,,,,,,,,273.50,15696.10,,,,,,3815.80,,,,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,413.30,,,,,,,N/A,,131.90,,,N/A,N/A,13938.80,N/A,,,410.00,,,,,,,,,7689.85,,,,,,,,,,,,,N/A,,,410942.04,,,N/A,,N/A,2926.31,11510.18,2563.15,N/A,65380.82,,,N/A,4633.32,445.50,N/A,,,,,,,,,,N/A,,,28306.11,,46314.80,80046.10,,,,,N/A,45540.70,,N/A,,5491.32,3207137.61
1993-94,,N/A,,,,,,,,,,115931.16,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,4136.10,N/A,,,,,,,,,113.70,,,,,,,,N/A,N/A,,,,,,,,,,,2851.10,,,,,,,,,,,,,,233.10,,2193.60,,,,,,,,N/A,,N/A,,,,,,1320760.49,,50528.04,,626.71,,,,,,,,,,,,,,N/A,,,,,,N/A,6416.85,,65634.98,,N/A,1314.50,,,,,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,N/A,619.30,,N/A,N/A,N/A,N/A,,,,20835.89,1019.90,,22539.67,,3185.30,,676.90,,,,,N/A,,N/A,,,2247.51,,,,,,,,,,,,,,N/A,9481.30,18781.25,3100.90,,,,,,,,,,,1070.04,,,,2282.97,63262.74,,N/A,,N/A,,23379.20,675727.81,,,,,,,352.00,,,,,,,,517.00,11815.27,N/A,,,,N/A,7461.80,,,,773.10,,,,,,,,,N/A,N/A,N/A,,,,,,,737.50,,,,N/A,N/A,,,,125.30,N/A,,N/A,,16216.50,,,,1534.50,,,,,,,,,12443.52,,,,,,,,,,,,,N/A,,,417044.13,,,N/A,,,5326.08,18287.44,2592.53,472.46,54706.69,,,N/A,13144.46,528.00,,,,,,,,,,,,,,17420.22,,19240.10,90804.87,,,,,1120.00,103125.00,,N/A,,6224.00,3224495.56
1994-95,,N/A,,,,,N/A,,,,N/A,71537.46,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,1989.60,,,,,,,,,,N/A,,,,,,,,,N/A,N/A,,,,,N/A,120.20,,,,3358.50,N/A,,,,,,,,,,,,,114.40,,3904.42,,,,,,,,N/A,,,,N/A,,,N/A,1387027.08,,54260.32,,3806.90,,,,,,,,,,,,,,N/A,,,,,,,4129.95,,69328.07,,N/A,992.00,,,,,,N/A,N/A,,N/A,,212.50,,,,,,,,,N/A,,,,,N/A,1535.00,,N/A,N/A,N/A,139.50,,,,31535.23,3296.10,,27998.53,,2730.20,,442.00,,,,,208.30,,N/A,,,2258.20,,,,,,,,,,,,,,230.55,15864.60,43755.81,12643.55,,,,,,,,,,,1421.36,,,,575.30,74638.35,,255.00,N/A,254.75,,16502.57,604852.93,,,,,,,2279.46,,,,,,,N/A,1086.20,25901.92,N/A,N/A,,,,3101.80,N/A,,,N/A,,,,,,,,,N/A,N/A,,,,,,,,592.20,,,,,,,,,199.80,2593.00,,N/A,N/A,12677.00,,,,2980.03,N/A,,,,,,,,22979.92,,,,,,,,,,,,,422.20,,,403002.75,,,N/A,,N/A,2935.12,3594.12,4842.04,N/A,64662.63,N/A,,N/A,10368.63,268.00,,,,,,,,,,,,,,27002.43,,19803.70,94630.60,,,,N/A,2508.00,154689.32,,N/A,,4188.60,3321698.16
1995-96,N/A,N/A,,,,,N/A,,,N/A,N/A,76333.84,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,,,,2.10,,,,,N/A,,,,N/A,,,,,N/A,,,,,,,,3025.00,,,,,,,,,,108.30,,,,,,,N/A,42.50,N/A,195.20,,,,,N/A,N/A,,,,3734.28,,,58.00,,N/A,,N/A,,,,,,,99.80,,9147.60,,,,,,,,N/A,,,,N/A,,,N/A,1673293.92,N/A,59008.23,N/A,9646.00,,,N/A,,N/A,,,,N/A,,,,,445.00,,,,,,N/A,4513.00,N/A,91618.19,,301.00,2268.10,,N/A,,,,N/A,69.20,,,,285.45,,,,,,,,,N/A,N/A,,,,35.00,1386.50,N/A,232.00,84.40,N/A,1475.50,,,,31803.28,7078.60,,44725.55,N/A,2683.10,,1011.80,,,N/A,,176.40,,N/A,,,11709.40,,,,,,,,,,,,,,443.80,38548.20,62539.87,18244.10,,,,,,,,N/A,,,2099.90,,,,230.74,78741.85,,165.60,N/A,370.38,N/A,22864.95,627999.61,,,,,,N/A,11068.93,,,,,,,,1450.06,53607.00,N/A,N/A,N/A,,,1083.00,,,,1145.60,N/A,,,,,,N/A,,,N/A,N/A,,N/A,,,,,1889.58,,,,,,,,,165.00,556.63,,N/A,700.00,7792.51,,,,2419.50,N/A,,,,,,,,28213.79,,,,,,,,,,,,,N/A,,,390436.07,,,N/A,,N/A,2309.11,2894.91,8765.03,N/A,67251.16,N/A,,N/A,17994.59,447.30,N/A,,N/A,,N/A,,N/A,,N/A,,,,,24228.72,N/A,28452.00,87509.40,,,,N/A,N/A,151173.30,,N/A,,3271.80,3792213.02
1996-97,N/A,N/A,,,,,N/A,,,N/A,390.39,104788.62,,,N/A,,,,,N/A,,,,N/A,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,,,N/A,0.00,N/A,,,,,,,,N/A,,,,,N/A,N/A,,,N/A,,,,3179.00,,,,,,,,,,345.67,,,,,,,N/A,875.23,N/A,398.80,,,,,N/A,N/A,N/A,,,5662.21,N/A,,420.50,,,N/A,N/A,N/A,,,N/A,,,512.90,N/A,8871.60,,,,,,,,N/A,,,,113.90,,,N/A,1644471.72,N/A,86119.11,N/A,20619.00,,,N/A,,17.20,N/A,N/A,,0.00,,,,,216.00,,,,,,N/A,8811.30,N/A,75299.12,,567.00,1842.60,,458.40,N/A,,N/A,882.90,667.07,,171.44,,139.05,,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1891.50,2492.62,63.75,515.00,,6599.20,,N/A,,46620.24,26551.85,,94383.62,N/A,3367.32,,2210.95,N/A,N/A,,,198.80,,255.20,,,16001.32,,,,,,N/A,,,,,,,,1536.94,53090.25,93009.90,11438.06,,,,,,,,N/A,,N/A,3799.50,,N/A,,3439.83,118526.17,,1206.42,N/A,1075.90,N/A,39675.14,843055.97,,,,,,,9461.10,,,,,,,,2430.50,68008.93,N/A,N/A,N/A,,444.70,2097.80,N/A,,,2136.65,N/A,,,,,,N/A,,N/A,619.90,19.83,,40.40,,,N/A,,2326.68,,,,,N/A,,,,193.90,1052.25,,3098.70,328.80,9805.80,N/A,,,661.00,N/A,,N/A,,,,,,41348.32,,,,,,,,,,,,N/A,807.20,N/A,N/A,494040.33,,,917.70,,153.11,3067.14,11386.28,6593.64,1167.40,57926.81,650.00,,265.00,20973.32,1204.02,938.98,N/A,N/A,175.00,14894.20,,,N/A,N/A,,N/A,N/A,N/A,29641.91,N/A,55497.20,104871.20,,,,N/A,N/A,168426.68,,N/A,N/A,2824.72,4463827.43
1997-98,,N/A,,,,,N/A,,,N/A,299.50,130060.11,,,,,,,N/A,N/A,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,10.70,,,N/A,3.00,,,,,N/A,,,,1051.20,,,,,N/A,N/A,,,N/A,,N/A,,2768.00,N/A,,,,,,,N/A,,248.52,,N/A,,,,,N/A,913.48,N/A,877.20,,,N/A,N/A,N/A,285.10,,,,9550.18,125.90,,799.50,N/A,,,N/A,N/A,,,,,,623.55,N/A,15599.85,,,,,,,,N/A,,,,598.35,,,102.00,1487422.50,623.10,124442.47,225.92,19039.00,,,,,8.50,,N/A,,0.00,,,,,266.45,,,,,,,7814.98,,83635.52,,92.52,2527.90,,288.50,N/A,,N/A,1521.10,315.69,,113.44,,176.19,N/A,N/A,,,N/A,,,,1587.40,212.50,,N/A,N/A,N/A,1188.82,2744.54,466.00,1135.04,,3133.72,,9419.90,,97505.50,15662.60,,144148.68,,3870.85,N/A,1249.25,N/A,363.30,,,2077.64,,320.20,,,62615.24,,N/A,,,,N/A,,,,,,,,1900.74,106904.66,112498.36,12052.20,,,,N/A,,,,,,,3937.90,,N/A,,1655.64,166301.77,,2922.70,606.55,2554.08,N/A,53875.80,845798.35,,,,,,N/A,10069.06,,,,,,N/A,,5574.11,94474.32,N/A,,N/A,N/A,4676.00,N/A,1233.50,N/A,,1053.30,N/A,,,,,,N/A,,N/A,823.20,,,9.25,,,,,3074.65,,,,,,,,,305.30,602.00,,185.00,542.00,16359.71,N/A,N/A,,2106.10,N/A,,N/A,,,,,,45538.85,,,,,,,,,,,,N/A,1053.82,N/A,,655402.47,,,548.88,,480.34,6587.98,16133.99,12566.63,2273.09,70619.57,892.00,,689.51,24307.09,2425.39,3845.79,N/A,N/A,595.00,14030.17,,,N/A,N/A,,,N/A,,41825.80,N/A,49027.50,140214.55,,,,N/A,2069.00,243333.89,,12.80,,6661.82,5044368.82
1998-99,,N/A,,N/A,,,N/A,,N/A,N/A,594.80,127198.42,,,,,,,N/A,,,,N/A,N/A,,,,,,,,,,,,28.90,,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,N/A,14.12,,N/A,,,N/A,,,,N/A,,N/A,,,,,,N/A,N/A,,N/A,,2830.00,,,,,,,,N/A,,365.57,,N/A,,,,,N/A,1960.52,N/A,919.68,,,N/A,N/A,162.30,357.89,N/A,,,11944.91,85.20,,456.35,N/A,,,N/A,N/A,N/A,,N/A,,,158.00,N/A,10953.71,,,,,,,,N/A,,,,375.75,,,136.35,1537494.64,674.84,119457.76,1274.10,21464.67,,,N/A,N/A,26.70,,N/A,N/A,10.00,,,,,143.60,N/A,,,,,,8483.80,N/A,94520.88,,N/A,1863.90,,311.70,,,N/A,4493.82,1076.91,,339.72,,477.45,,N/A,,,N/A,,,N/A,2235.00,77.80,,N/A,N/A,N/A,3068.29,2216.46,N/A,977.95,,1539.76,,29940.05,,120505.02,32613.08,,269323.41,N/A,4076.21,,2050.59,N/A,123.00,N/A,,1480.86,N/A,128.90,,,86031.31,,N/A,,,,N/A,,,,,,,,8062.25,145733.10,87223.66,10696.06,,N/A,,N/A,N/A,,N/A,,,N/A,2175.10,,N/A,,2855.20,179665.46,,1982.96,2206.85,2542.58,N/A,48364.30,757117.06,,,,,,N/A,6063.05,,,,,,N/A,,1917.54,67673.62,N/A,N/A,3.70,N/A,3927.87,N/A,N/A,N/A,,3127.44,N/A,N/A,N/A,,N/A,,N/A,,N/A,471.90,7.50,,34.25,,,,,2953.92,,,,N/A,N/A,,,,192.20,316.66,,255.80,1327.72,10303.19,N/A,N/A,,1344.16,,N/A,N/A,,,N/A,,,40205.47,,,,,,,,,N/A,N/A,,N/A,1291.88,N/A,,602371.08,,,1105.20,,300.70,4422.80,8500.49,4367.32,1214.64,54259.42,380.20,,821.40,24749.41,1636.37,931.79,,N/A,27.50,5067.99,,N/A,,N/A,,N/A,N/A,,72984.35,N/A,49794.24,149820.10,,,,N/A,N/A,236138.99,,N/A,N/A,17303.08,5146405.49
1999-00,,N/A,,N/A,,,N/A,,N/A,N/A,N/A,120371.46,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,180.04,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,,N/A,,,,6.00,,,,,,N/A,,,N/A,N/A,,,,,N/A,,,N/A,,N/A,,4306.00,N/A,,,,,,,N/A,,180.81,,N/A,,N/A,,,N/A,1696.67,N/A,546.20,,,N/A,,N/A,265.40,,,,16487.00,87.30,,484.64,,,N/A,70.20,N/A,,,N/A,N/A,,407.20,N/A,8273.86,,,N/A,,,,,N/A,N/A,,N/A,196.80,N/A,,186.50,1660964.76,N/A,103200.04,1681.80,15236.82,,,,,6.32,,N/A,N/A,N/A,,,,,67.45,N/A,N/A,N/A,,,,5693.80,N/A,80575.81,,N/A,696.70,,363.60,,,N/A,1390.60,516.95,N/A,222.04,N/A,497.25,N/A,,,,,,,N/A,N/A,82.20,,,N/A,N/A,1185.09,2277.00,N/A,281.72,,5260.40,,34572.30,,111885.27,26093.94,,157063.54,N/A,3053.47,,2131.10,105.20,425.46,N/A,,2625.06,,466.76,,,61587.43,,N/A,N/A,,,N/A,,,,,,,,1474.64,64620.82,86583.79,8109.46,,N/A,,,N/A,,N/A,N/A,,N/A,2138.60,,N/A,,1997.21,159866.97,,1792.44,864.25,3453.94,N/A,66451.80,745358.19,,,,,N/A,N/A,7567.35,,,,,,N/A,,7614.57,40370.74,365.15,N/A,49.04,N/A,1320.00,N/A,188.00,,,3228.16,N/A,,N/A,,N/A,,N/A,,,573.98,N/A,,22.00,,,N/A,,3384.56,,,,,,N/A,,,212.98,9726.14,,135.80,23.00,5443.00,N/A,N/A,,2532.15,,,,,,N/A,,,37690.86,,,,,,,,,N/A,,,,880.40,N/A,N/A,687263.09,,,689.08,,683.14,8276.48,13753.00,6586.09,1498.05,54699.59,362.53,,153.30,17392.14,2474.75,6007.66,,N/A,152.00,5890.00,,N/A,,N/A,N/A,N/A,N/A,,48466.53,1.70,24087.39,143050.67,,,,,1356.00,209320.40,,N/A,1576.10,18065.52,4962332.72
